Species,taxon,common
Acipenser oxyrinchus,Fish,Atlantic sturgeon
Alosa alosa,Fish,Alice shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Alosa fallax,Fish,Twaite shad
Amblyraja hyperborea,Fish,Arctic skate
Amblyraja radiata,Fish,thorny skate
Amblyraja radiata,Fish,thorny skate
Anarhichas denticulatus,Fish,northern wolffish
Anarhichas lupus,Fish,Atlantic wolffish
Anarhichas lupus,Fish,Atlantic wolffish
Anarhichas lupus,Fish,Atlantic wolffish
Anarhichas lupus,Fish,Atlantic wolffish
Anarhichas minor,Fish,spotted wolffish
Bodianus scrofa,Fish,barred hogfish
Brama brama,Fish,Atlantic pomfret
Brama brama,Fish,Atlantic pomfret
Brama brama,Fish,Atlantic pomfret
Caretta caretta,Reptiles,Loggerhead
Caretta caretta,Reptiles,Loggerhead
Caretta caretta,Reptiles,Loggerhead
Centroscyllium fabricii,Fish,black dogfish
Centroscymnus crepidater,Fish,longnose velvet dogfish
Centroscymnus crepidater,Fish,longnose velvet dogfish
Chelidonichthys lucerna,Fish,tub gurnard
Chelidonichthys lucerna,Fish,tub gurnard
Chelidonichthys lucerna,Fish,tub gurnard
Chelidonichthys lucerna,Fish,tub gurnard
Chelidonichthys lucerna,Fish,tub gurnard
Chelidonichthys lucerna,Fish,tub gurnard
Chimaera monstrosa,Fish,rabbitfish
Chimaera monstrosa,Fish,rabbitfish
Chimaera monstrosa,Fish,rabbitfish
Chimaera monstrosa,Fish,rabbitfish
Chimaera monstrosa,Fish,rabbitfish
Chimaera monstrosa,Fish,rabbitfish
Chlamydoselachus anguineus,Fish,frill shark
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Conger conger,Fish,conger eel
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Cyclopterus lumpus,Fish,lumpfish
Dasyatis pastinaca,Fish,blue stingray
Dasyatis pastinaca,Fish,blue stingray
Dasyatis pastinaca,Fish,blue stingray
Dasyatis pastinaca,Fish,blue stingray
Deania calcea,Fish,birdbeak dogfish
Deania calcea,Fish,birdbeak dogfish
Deania calcea,Fish,birdbeak dogfish
Delphinus delphis,Mammals,Short-beaked Common Dolphin
Delphinus delphis,Mammals,Short-beaked Common Dolphin
Delphinus delphis,Mammals,Short-beaked Common Dolphin
Delphinus delphis,Mammals,Short-beaked Common Dolphin
Dermochelys coriacea,Reptiles,leatherback turtle
Dermochelys coriacea,Reptiles,leatherback turtle
Dermochelys coriacea,Reptiles,leatherback turtle
Dipturus intermedius,Fish,flapper skate
Dipturus intermedius,Fish,flapper skate
Dipturus intermedius,Fish,flapper skate
Dipturus nidarosiensis,Fish,Norwegian skate
Dipturus oxyrinchus,Fish,longnosed skate
Dipturus oxyrinchus,Fish,longnosed skate
Epigonus telescopus,Fish,telescope cardinal
Epinephelus marginatus,Fish,dusky grouper
Etmopterus princeps,Fish,great lanternshark
Etmopterus princeps,Fish,great lanternshark
Etmopterus spinax,Fish,velvet belly
Etmopterus spinax,Fish,velvet belly
Etmopterus spinax,Fish,velvet belly
Etmopterus spinax,Fish,velvet belly
Etmopterus spinax,Fish,velvet belly
Fulmarus glacialis,Bird,Northern Fulmar
Galeus melastomus,Fish,blackmouth catshark
Galeus melastomus,Fish,blackmouth catshark
Halichoerus grypus,Mammals,Gray Seal
Helicolenus dactylopterus,Fish,blackbelly rosefish
Helicolenus dactylopterus,Fish,blackbelly rosefish
Helicolenus dactylopterus,Fish,blackbelly rosefish
Helicolenus dactylopterus,Fish,blackbelly rosefish
Helicolenus dactylopterus,Fish,blackbelly rosefish
Helicolenus dactylopterus,Fish,blackbelly rosefish
Hexanchus griseus,Fish,bluntnose sixgill shark
Hexanchus griseus,Fish,bluntnose sixgill shark
Hexanchus griseus,Fish,bluntnose sixgill shark
Hexanchus griseus,Fish,bluntnose sixgill shark
Hippocampus guttulatus,Fish,long-snouted seahorse
Hippoglossus hippoglossus,Fish,Atlantic halibut
Hippoglossus hippoglossus,Fish,Atlantic halibut
Hippoglossus hippoglossus,Fish,Atlantic halibut
Hippoglossus hippoglossus,Fish,Atlantic halibut
Isurus paucus,Fish,longfin mako
Labrus bergylta,Fish,ballan wrasse
Labrus bergylta,Fish,ballan wrasse
Labrus bergylta,Fish,ballan wrasse
Labrus bergylta,Fish,ballan wrasse
Lampetra fluviatilis,Fish,European river lamprey
Larus argentatus,Bird,Herring Gull
Larus fuscus,Bird,Lesser Black-backed Gull
Larus marinus,Bird,Great Black-backed Gull
Lepidopus caudatus,Fish,scabbardfish
Lepidorhombus whiffiagonis,Fish,megrim
Leucoraja fullonica,Fish,shagreen ray
Leucoraja fullonica,Fish,shagreen ray
Leucoraja fullonica,Fish,shagreen ray
Lophius piscatorius,Fish,anglerfish
Lycodes esmarkii,Fish,Esmark's eelpout
Merlangius merlangus,Fish,whiting
Merlangius merlangus,Fish,whiting
Merlangius merlangus,Fish,whiting
Mola mola,Fish,ocean sunfish
Mola mola,Fish,ocean sunfish
Molva macrophthalma,Fish,Mediterranean ling
Molva macrophthalma,Fish,Mediterranean ling
Mora moro,Fish,googly-eyed cod
Morus bassanus,Bird,Northern Gannet
Morus bassanus,Bird,Northern Gannet
Morus bassanus,Bird,Northern Gannet
Morus bassanus,Bird,Northern Gannet
Morus bassanus,Bird,Northern Gannet
Mycteroperca fusca,Fish,island grouper
Myliobatis aquila,Fish,spotted eagle ray
Pagellus bogaraveo,Fish,blackspot seabream
Pagellus bogaraveo,Fish,blackspot seabream
Petromyzon marinus,Fish,sea lamprey
Phoca vitulina,Mammals,Harbor Seal
Phoca vitulina,Mammals,Harbor Seal
Phocoena phocoena,Mammals,Harbor Porpoise
Polyprion americanus,Fish,wreckfish
Pomatomus saltatrix,Fish,bluefish
Pomatoschistus microps,Fish,common goby
Pomatoschistus minutus,Fish,freckled goby
Pomatoschistus minutus,Fish,freckled goby
Puffinus mauretanicus,Bird,Balearic Shearwater
Raja clavata,Fish,thornback ray
Raja microocellata,Fish,painted ray
Raja microocellata,Fish,painted ray
Raja microocellata,Fish,painted ray
Raja undulata,Fish,undulate ray
Raja undulata,Fish,undulate ray
Raja undulata,Fish,undulate ray
Rajella fyllae,Fish,round skate
Rajella lintea,Fish,sailray
Rissa tridactyla,Bird,Black-legged Kittiwake
Scophthalmus maximus,Fish,turbot
Scophthalmus maximus,Fish,turbot
Scophthalmus rhombus,Fish,brill
Scophthalmus rhombus,Fish,brill
Scyliorhinus stellaris,Fish,nursehound
Scyliorhinus stellaris,Fish,nursehound
Sebastes norvegicus,Fish,golden redfish
Sebastes viviparus,Fish,Norway haddock
Sebastes viviparus,Fish,Norway haddock
Sebastes viviparus,Fish,Norway haddock
Somniosus microcephalus,Fish,Greenland shark
Sparus aurata,Fish,gilthead seabream
Sparus aurata,Fish,gilthead seabream
Sphyrna zygaena,Fish,smooth hammerhead
Tetronarce nobiliana,Fish,Atlantic torpedo
Torpedo marmorata,Fish,marbled electric ray
Uria aalge,Bird,Common Guillemot
Uria aalge,Bird,Common Guillemot
Uria aalge,Bird,Common Guillemot
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
Zeus faber,Fish,European john dory
