species,common,taxon
acipenser oxyrinchus,Atlantic sturgeon,Fish
alosa alosa,Alice shad,Fish
alosa fallax,Twaite shad,Fish
amblyraja hyperborea,Arctic skate,Fish
amblyraja radiata,thorny skate,Fish
anarhichas denticulatus,northern wolffish,Fish
anarhichas lupus,Atlantic wolffish,Fish
anarhichas minor,spotted wolffish,Fish
bodianus scrofa,barred hogfish,Fish
brama brama,Atlantic pomfret,Fish
caretta caretta,Loggerhead,Turtles
centroscyllium fabricii,black dogfish,Fish
centroscymnus crepidater,longnose velvet dogfish,Fish
chelidonichthys lucerna,tub gurnard,Fish
chimaera monstrosa,rabbitfish,Fish
chlamydoselachus anguineus,frill shark,Fish
conger conger,conger eel,Fish
cyclopterus lumpus,lumpfish,Fish
dasyatis pastinaca,blue stingray,Fish
deania calcea,birdbeak dogfish,Fish
delphinus delphis,Short-beaked Common Dolphin,Mammals
dermochelys coriacea,leatherback turtle,Turtles
dipturus intermedius,flapper skate,Fish
dipturus nidarosiensis,Norwegian skate,Fish
dipturus oxyrinchus,longnosed skate,Fish
epigonus telescopus,telescope cardinal,Fish
epinephelus marginatus,dusky grouper,Fish
etmopterus princeps,great lanternshark,Fish
etmopterus spinax,velvet belly,Fish
fulmarus glacialis,Northern Fulmar,Seabirds
galeus melastomus,blackmouth catshark,Fish
halichoerus grypus,Gray Seal,Mammals
helicolenus dactylopterus,blackbelly rosefish,Fish
hexanchus griseus,bluntnose sixgill shark,Fish
hippocampus guttulatus,long-snouted seahorse,Fish
hippoglossus hippoglossus,Atlantic halibut,Fish
isurus paucus,longfin mako,Fish
labrus bergylta,ballan wrasse,Fish
lampetra fluviatilis,European river lamprey,Fish
larus argentatus,Herring Gull,Seabirds
larus fuscus,Lesser Black-backed Gull,Seabirds
larus marinus,Great Black-backed Gull,Seabirds
lepidopus caudatus,scabbardfish,Fish
lepidorhombus whiffiagonis,megrim,Fish
leucoraja fullonica,shagreen ray,Fish
lophius piscatorius,anglerfish,Fish
lycodes esmarkii,Esmark's eelpout,Fish
merlangius merlangus,whiting,Fish
mola mola,ocean sunfish,Fish
molva macrophthalma,Mediterranean ling,Fish
mora moro,googly-eyed cod,Fish
morus bassanus,Northern Gannet,Seabirds
mycteroperca fusca,island grouper,Fish
myliobatis aquila,spotted eagle ray,Fish
pagellus bogaraveo,blackspot seabream,Fish
petromyzon marinus,sea lamprey,Fish
phoca vitulina,Harbor Seal,Mammals
phocoena phocoena,Harbor Porpoise,Mammals
polyprion americanus,wreckfish,Fish
pomatomus saltatrix,bluefish,Fish
pomatoschistus microps,common goby,Fish
pomatoschistus minutus,freckled goby,Fish
puffinus mauretanicus,Balearic Shearwater,Seabirds
raja clavata,thornback ray,Fish
raja microocellata,painted ray,Fish
raja undulata,undulate ray,Fish
rajella fyllae,round skate,Fish
rajella lintea,sailray,Fish
rissa tridactyla,Black-legged Kittiwake,Seabirds
scophthalmus maximus,turbot,Fish
scophthalmus rhombus,brill,Fish
scyliorhinus stellaris,nursehound,Fish
